__mclCluster,EnrichmentMap::Colouring (Dataset 1),EnrichmentMap::ES (Dataset 1),EnrichmentMap::fdr_qvalue (Dataset 1),EnrichmentMap::fwer_qvalue (Dataset 1),EnrichmentMap::Genes,EnrichmentMap::GS_DESCR,EnrichmentMap::gs_size,EnrichmentMap::GS_Type,EnrichmentMap::Name,EnrichmentMap::NES (Dataset 1),EnrichmentMap::pvalue (Dataset 1),name,selected,shared name
,1,0.5483,0.043,0.909,BBS4|NEDD1|BBS9|TUBG1|TUBG2|CEP192|CEP85|TCP1|NEK1|TNKS|NIN|TNKS2|TUBE1|CEP85L|PCM1|RABL2B|HOOK3|CEP152|CDK5RAP2|DYNC2I1|DYRK3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_PERICENTRIOLAR_MATERIAL,21,ENR,GOCC_PERICENTRIOLAR_MATERIAL,1.8946,0,GOCC_PERICENTRIOLAR_MATERIAL,FALSE,GOCC_PERICENTRIOLAR_MATERIAL
2,1,0.5897,0.0014,0.015,NPR2|SCAPER|SCLT1|SDCCAG8|NPHP1|ARL6|IGF2|CEP290|BBS2|BBS5|BBS7|HNRNPR|IFT74|TFAP2B|IFT172|IFT27|TTC8|BBIP1|WDPCP|BBS1|SMARCB1|BBS10|ARID1B|BBS12|BBS4|TRIM32|BBS9|LZTFL1|CFAP418|GJA1|CEP19|MKKS|COL2A1|MKS1|ERI1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP_ABNORMALITY_OF_THE_DISTAL_PHALANX_OF_THE_5TH_FINGER,35,ENR,HP_ABNORMALITY_OF_THE_DISTAL_PHALANX_OF_THE_5TH_FINGER,2.3335,0,HP_ABNORMALITY_OF_THE_DISTAL_PHALANX_OF_THE_5TH_FINGER,FALSE,HP_ABNORMALITY_OF_THE_DISTAL_PHALANX_OF_THE_5TH_FINGER
1,1,0.721,4.00E-04,0.001,BUB1|PMF1|BUB1B|NUF2|CENPF|NSL1|SPC24|SPC25|SPDL1|SKA1|DSN1|KNL1|SKA2|SKA3|MIS12|CCNB1|ZWINT|NDC80|PLK1|BOD1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_OUTER_KINETOCHORE,20,ENR,GOCC_OUTER_KINETOCHORE,2.552,0,GOCC_OUTER_KINETOCHORE,FALSE,GOCC_OUTER_KINETOCHORE
2,0.9939,0.5567,0.0098,0.213,GIPC1|LRP12|RILPL1|SCAPER|SCLT1|SDCCAG8|NPHP1|ARL6|CEP290|BBS2|BBS5|BBS7|IFT74|IFT172|UBB|IFT27|TTC8|BBIP1|WDPCP|BBS1|BBS10|BBS12|BBS4|TRIM32|BBS9|LZTFL1|NOTCH2NLC|CFAP418|CEP19|MKKS|MKS1|SELENOI,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP_NASAL_DYSARTHRIA,32,ENR,HP_NASAL_DYSARTHRIA,2.1261,0.0061,HP_NASAL_DYSARTHRIA,FALSE,HP_NASAL_DYSARTHRIA
3,1,0.4627,0.0014,0.012,WTAP|KHDRBS1|RBMXL1|SNRNP70|CELF2|NOVA2|CELF3|CELF5|CELF6|TRA2A|RBFOX2|SF1|CLNS1A|RBPMS|RBM23|RBM42|RBM39|DDX17|PCBP4|SF3B4|KHDRBS3|NUP98|SAP18|SFSWAP|UPF3A|UPF3B|FMR1|SRRM1|RBPMS2|JMJD6|SNW1|YTHDC1|REST|RNPS1|C1QBP|SRSF2|SRPK1|SRPK2|HNRNPA1|SRSF10|SRSF12|SRSF7|CELF1|SRSF6|CIRBP|SRSF9|PUF60|ARB2A|QKI|RBM15|RBM15B|RBM10|RBM24|RBM5|CWC22|RBM3|LARP7|PRDX6|RBM4|RBM47|EXOSC10|HNRNPA2B1|RBM8A|DDX5|RBM25|HNRNPL|PTBP1|SMU1|U2AF2|RBM7|MAGOH|HNRNPK|SRSF3|PRMT5|METTL16|NOVA1|ZBTB7A|UPF1|WDR77|DAZAP1|EIF1|SON|RBM20|PRPF19|HSPA8|NCBP1|SRSF4|NSRP1|HNRNPU|NCL|RBMX|TRA2B|DYRK1A|THRAP3|TIA1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,95,ENR,GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,2.3488,0,GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,FALSE,GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME
1,1,0.4769,5.00E-04,0.001,ABRAXAS1|GOLGA2|KIF14|SEH1L|HSPA1A|HSPA1B|NIPBL|KLHL22|AKAP8|SKA1|AKAP8L|KNL1|SKA2|KNTC1|SKA3|AURKC|ANAPC11|LCMT1|ANAPC15|KATNB1|KIF11|BECN1|KIF15|ANAPC5|KIF18B|ANAPC7|MAD1L1|KIF23|MAD2L1|KIF2A|MAD2L1BP|KIF4A|MAD2L2|KIF4B|SPAG5|KIFC2|APC|BOD1|KMT5A|SPICE1|LSM14A|MAP10|MAP9|ATM|AURKB|CENPC|CEP55|CHAMP1|BIRC5|CHMP1A|NDC80|CHMP1B|MYBL2|CHMP2B|MZT1|CHMP3|NCAPD2|PRICKLE1|CHMP4A|NCAPD3|CHMP5|NCAPG|CHMP6|NCAPG2|NCAPH|NCAPH2|NSMCE2|BUB1|BUB1B|NUF2|BUB3|OFD1|DCTN2|RANGRF|PCID2|PHF13|CCNB1|PPP2R1A|PRC1|EML3|EML4|PLK1|POLDIP2|RHOA|CDC16|CDC20|SMARCA5|CDC23|SMC1A|SMC2|SMC3|SMC4|STAG1|STAG2|PSMG2|CDCA5|RAB11A|CDCA8|CDK1|RAD21|HNRNPU|TENT4A|CDK5RAP2|RB1|KAT2B|KAT5|KIF18A|TPX2|TTN|TUBG1|KIF22|TUBG2|CDT1|KIF2C|CENPE|CENPF|KIF3B|UHRF1|WAPL|CHEK2|CHMP2A|KIFC1|CHMP4B|WRAP73|CHMP4C|KNSTRN|CHMP7|KPNB1|CLASP1|CLASP2|CUL3|MAPRE1|SPC24|SPC25|FLNA|SPDL1|MIS12|DLGAP5|DUSP1|DYNC1LI1|TEX14|NEK2|AAAS|NSL1|NUDC|NUMA1|NUP62|TPR|ARHGEF10|ESPL1|NUSAP1|BAZ1B|TRIP13|BCCIP|TTK|PDCD6IP|UBE2C|FBXO5|PIBF1|CCDC61|PINX1|CCSAP|CENPI|VPS4A|CENPK|GEN1|VPS4B|CEP192|PSRC1|CEP97|XRCC3|HASPIN|ZNF207|RACGAP1|RAN|ZW10|ZWILCH|DIS3L2|ZWINT|ABRAXAS2|DRG1|IK|RMDN1|INCENP|RRS1|INO80|ANKRD53,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,187,ENR,GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,2.5744,0,GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,FALSE,GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION
1,1,0.5904,0.0079,0.145,RCC2|NUMA1|CCNB1|BECN1|MAD2L1BP|SIRT2|SMC6|RAD18|SMC5|SMC2|SMC4|AURKB|CDC6|CDCA8|CDK1|BIRC5|HNRNPU|INCENP|NCAPD2|NCAPD3|NCAPG|NCAPG2|NCAPH|KAT2B|NCAPH2|KAT5,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,26,ENR,GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,2.1691,0,GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,FALSE,GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION
,1,0.4397,0.0712,0.996,BUB1|BUB1B|BUB3|HDAC4|EXT2|GPC4|SPRED1|TP53|IGF2|MAP3K1|CDKN1C|PALB2|BMPER|HRAS|ASXL1|TRIP13|PAX6|KCNQ1OT1|PIK3CA|WWOX|DICER1|SETBP1|SOX9|ZFPM2|VAMP7|C1S|DHX37|PTCH1|REST|ALX4|CEP57|NR0B1|TRIM28|TRIM37|CDC73|DIS3L2|FIBP|PHF21A|BLM|BRCA2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP_EMBRYONAL_RENAL_NEOPLASM,40,ENR,HP_EMBRYONAL_RENAL_NEOPLASM,1.7869,0,HP_EMBRYONAL_RENAL_NEOPLASM,FALSE,HP_EMBRYONAL_RENAL_NEOPLASM
12,-1,-0.5371,0.081,0.995,GCNT1|GP1BA|ICAM1|MDK|IL27RA|PDGFD|PLVAP|PTGER4|RIPOR2|ST3GAL4|THY1|BCR|CCL25|CX3CL1|CRKL|PTAFR|PRTN3|GOLPH3|EXT1|JAM2|AGER|AZU1|CXCL12|JAM3|ROCK1|CCL2|MED23|CRK|F11R|FER|PLCB1|ITGA1|ITGAL|MADCAM1|PECAM1|PODXL2|SELPLG|PIK3CD|SIRPA|SPN|VCAM1|ADAM8|ADD2|BST1|CD47|CD99|CD99L2|IL1R1|CHST2|ITGA4|FADD|FUT4|FUT9|ITGB1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_EXTRAVASATION,54,ENR,GOBP_CELLULAR_EXTRAVASATION,-1.7826,0,GOBP_CELLULAR_EXTRAVASATION,FALSE,GOBP_CELLULAR_EXTRAVASATION
1,1,0.34,0.0456,0.927,ABRAXAS1|GOLGA2|HSPA1A|HSPA1B|AURKC|KIF11|KIF15|HAUS1|HAUS2|KIF23|HAUS3|KIF2A|HAUS4|KIF4A|HAUS5|KIF4B|HAUS6|KIFC2|HAUS7|HAUS8|LSM14A|MAP10|MAP9|AURKA|AURKB|CEP120|PCNT|BIRC5|CHMP1A|CHMP1B|MYBL2|RGS14|CHMP2B|MZT1|CHMP3|PRICKLE1|CHMP4A|CHMP5|CHMP6|FAM110A|OFD1|CSNK1D|DCTN1|DCTN2|TUBB1|RANGRF|DYNC1H1|CCNB1|PPP2R1A|CCNB2|PRC1|EML3|RNF4|INTS13|CEP72|EZR|RHOA|NEK7|CDC20|SMC1A|SMC3|STAG1|STAG2|GPSM2|HDAC3|CDCA8|CKAP5|HNRNPU|TRIM36|FSD1|CENPH|TPX2|TUBG1|TUBG2|CENPE|KIF3B|CENPJ|UHRF1|CEP63|CHEK2|WASHC5|CCDC69|KIZ|CHMP2A|KIFC1|CHMP4B|WRAP73|CHMP4C|KNSTRN|LZTS2|CHMP7|KPNB1|SAC3D1|STARD9|CLASP1|CLASP2|LIMK2|MAP1S|SUGT1|MAP4|MAPRE1|DDB1|DLG1|DLGAP5|TPPP|EML1|MLH1|MYH9|NEK2|NUDC|NUMA1|NUP62|ESPL1|TUBGCP3|PDCD6IP|FBXO5|PIBF1|TUBGCP5|PSRC1|RACGAP1|RAN|RMDN1|INCENP|CHD3|MAPRE3|INO80|DCTN6|PTPA|SEPTIN1|ATRX|NTMT1|SPAG5|SPATA17|SPICE1|CLTC|SUN2|RAE1|NDC80|NEK6|NUF2|GNAI1|STMN1|PKD1|PLK1|PLK2|PLK3|POLDIP2|MAPRE2|NCOR1|TNKS|PTEN|TUBGCP4|TUBGCP6|RAB11A|TUBB|RCC1|SBDS|SENP6|AUNIP|SASS6|CEP126|SPAST|SPC25|FLNA|STIL|UVRAG|VCP|TACC1|TACC3|TBCE|EFHC1|PARP3|TUBGCP2|AAAS|TPR|WDR62|ARHGEF10|ASPM|BCCIP|RPS3|TTK|BORA|GTF2B|CCDC61|CCSAP|VPS4B|CEP192|CEP97|ZNF207|DCAF13|TACC2|ABRAXAS2|DRG1|ANKRD53,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SPINDLE_ORGANIZATION,194,ENR,GOBP_SPINDLE_ORGANIZATION,1.883,0,GOBP_SPINDLE_ORGANIZATION,FALSE,GOBP_SPINDLE_ORGANIZATION
1,1,0.3839,0.0418,0.883,ABRAXAS1|GOLGA2|HSPA1A|SEPTIN1|HSPA1B|AURKC|KIF11|KIF15|HAUS1|HAUS2|KIF23|HAUS3|KIF2A|HAUS4|KIF4A|HAUS5|KIF4B|SPAG5|HAUS6|KIFC2|HAUS7|HAUS8|SPICE1|LSM14A|MAP10|MAP9|AURKA|AURKB|BIRC5|CHMP1A|NDC80|CHMP1B|MYBL2|CHMP2B|MZT1|CHMP3|NEK6|PRICKLE1|CHMP4A|CHMP5|CHMP6|OFD1|CSNK1D|TUBB1|RANGRF|DYNC1H1|CCNB2|PRC1|EML3|RNF4|PLK1|POLDIP2|RHOA|NEK7|MAPRE2|CDC20|SMC1A|NCOR1|SMC3|STAG1|STAG2|TNKS|PTEN|TUBGCP4|GPSM2|TUBGCP6|HDAC3|RAB11A|CDCA8|HNRNPU|TUBB|RCC1|TPX2|KIF3B|CENPJ|UHRF1|CEP63|CHEK2|WASHC5|CCDC69|CHMP2A|KIFC1|SENP6|CHMP4B|WRAP73|CHMP4C|LZTS2|CHMP7|KPNB1|SAC3D1|STARD9|CLASP1|SASS6|CLASP2|MAPRE1|FLNA|DDB1|STIL|MLH1|NEK2|TUBGCP2|AAAS|NUMA1|TPR|ARHGEF10|ASPM|TUBGCP3|BCCIP|RPS3|PDCD6IP|FBXO5|GTF2B|PIBF1|CCDC61|CCSAP|VPS4B|TUBGCP5|CEP192|CEP97|ZNF207|DCAF13|RACGAP1|ABRAXAS2|DRG1|INCENP|MAPRE3|INO80,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SPINDLE_ASSEMBLY,127,ENR,GOBP_SPINDLE_ASSEMBLY,1.9065,0,GOBP_SPINDLE_ASSEMBLY,FALSE,GOBP_SPINDLE_ASSEMBLY
,1,0.6223,0.0212,0.479,PPIA|CWC27|PPIB|PPIE|PPP3CA|RANBP2|NKTR|PPIC|PPIG|PPWD1|PPIH|PPID|PPIF|PPIL1|PPIL2|PPP3R1|PPIL6,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_CYCLOSPORIN_A_BINDING,17,ENR,GOMF_CYCLOSPORIN_A_BINDING,2.0365,0,GOMF_CYCLOSPORIN_A_BINDING,FALSE,GOMF_CYCLOSPORIN_A_BINDING
2,1,0.6345,0.0013,0.009,NPR2|SCAPER|SCLT1|SDCCAG8|NPHP1|ARL6|CEP290|BBS2|BBS5|BBS7|IFT74|IFT172|IFT27|TTC8|BBIP1|WDPCP|BBS1|BBS10|BBS12|BBS4|TRIM32|BBS9|LZTFL1|CFAP418|GJA1|CEP19|MKKS|MKS1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP_FIFTH_FINGER_DISTAL_PHALANX_CLINODACTYLY,28,ENR,HP_FIFTH_FINGER_DISTAL_PHALANX_CLINODACTYLY,2.3794,0,HP_FIFTH_FINGER_DISTAL_PHALANX_CLINODACTYLY,FALSE,HP_FIFTH_FINGER_DISTAL_PHALANX_CLINODACTYLY
1,1,0.4017,0.0011,0.006,ABRAXAS1|GOLGA2|ACTB|ACTL6A|ACTL6B|HSPA1A|HSPA1B|NIPBL|AKAP8|IHO1|AKAP8L|AURKC|ANAPC1|ANAPC11|ANAPC15|KATNB1|ANAPC2|KIF11|ANAPC4|BECN1|KIF15|ANAPC5|KIF18B|ANAPC7|KIF23|KIF2A|KIF4A|KIF4B|KIFC2|APC|KLHDC8B|BOD1|KMT5A|ARID1A|ARID1B|ARID2|LSM14A|MAEL|MAP10|MAP9|ATM|CDC42|AURKA|AURKB|MLH3|MND1|CENPC|CENPQ|MSH5|CEP55|BCL7A|BCL7B|BCL7C|CHAMP1|BIRC5|CHMP1A|CHMP1B|MYBL2|CHMP2B|MZT1|CHMP3|NCAPD2|PRICKLE1|CHMP4A|NCAPD3|CHMP5|NCAPG|BRD7|CHMP6|NCAPG2|BRIP1|NCAPH|NCAPH2|NDC1|BUB1|BUB1B|BUB3|OFD1|P3H4|DCTN2|RANGRF|DSN1|PHF13|DYNC1H1|CCNB1|ECT2|PPP2R1A|CCNB2|PRC1|EML3|EML4|PSMC3IP|CCNE1|PTTG1|CCNE2|REC8|RHOA|SIRT7|CDC16|CDC20|FMN2|SMARCA5|CDC23|SMC1A|SMC2|SMC3|SMC4|CDC27|STAG1|GEM|STAG2|STAG3|CDC6|SYCE1L|SYCE2|CDCA5|SYCP2|CDCA8|CDK1|HNRNPU|TENT4A|TEX15|CDK5RAP2|KAT2B|KAT5|TOP2A|TOP2B|KIF18A|TPX2|TTN|TUBG1|KIF22|TUBG2|CDT1|KIF2C|CENPE|CENPF|KIF3B|UHRF1|WAPL|CHEK2|WASHC5|CHFR|CHMP2A|KIFC1|CHMP4B|WRAP73|CHMP4C|KNSTRN|ZCWPW1|CHMP7|KPNB1|CLASP1|CLASP2|CUL3|MAP1S|MAPRE1|DDB1|MEIOC|MIS12|DLGAP5|MLH1|DPF1|DPF2|DPF3|DUSP1|DYNC1LI1|NEK2|NSL1|NUDC|NUMA1|NUP62|ESPL1|NUSAP1|FAM83D|FANCD2|PDCD6IP|FBXO5|PIBF1|PINX1|PMF1|GEN1|PSRC1|HASPIN|HECW2|RACGAP1|RAN|IK|RMDN1|INCENP|RRS1|INO80|KIF14|SEH1L|SEPTIN1|SGO1|KLHL22|SKA1|KNL1|SKA2|KNTC1|SKA3|LATS1|LCMT1|MAD1L1|MAD2L1|EHMT2|MAD2L1BP|MAD2L2|SPAG5|MAP3K20|SPICE1|MRE11|SUN1|TERF1|NDC80|NEK6|NSMCE2|NUF2|TRAPPC12|PBRM1|PCID2|PHF10|TTL|UBE2B|PLK1|POLDIP2|PSMG2|PTEN|RAB11A|RAD21|BAG6|RB1|RCC2|RIOK2|SIRT2|SMARCA2|SMARCA4|SMARCB1|SMARCC1|SMARCC2|SMARCD1|SMARCD2|SMARCD3|SMARCE1|SPC24|SPC25|FLNA|SPDL1|SPDYA|TACC3|TEX14|AAAS|ACTR2|ACTR3|AGO4|TPR|ARHGEF10|ASPM|BAZ1B|TRIP13|BCCIP|TTK|UBE2C|C9ORF78|CCDC61|CCNB1IP1|CCSAP|CENPI|VPS4A|CENPK|VPS4B|CEP192|CEP97|XRCC3|ZNF207|DCAF13|ZW10|ZWILCH|DIS3L2|ZWINT|DMC1|ABRAXAS2|DRG1|RMI2|ANKRD53,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,286,ENR,GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,2.4217,0,GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,FALSE,GOBP_NUCLEAR_CHROMOSOME_SEGREGATION
,0.9955,0.4925,0.072,0.996,SOS1|SOS2|SOX10|SPRED2|EYA1|NRAS|KCNJ10|HRAS|CHD7|SIX1|PI4KB|KRAS|CBL|RAF1|RASA2|RIT1|LZTR1|SLC26A4|FOXP2|RRAS|PTPN11|RRAS2|FGFR2|SEMA3E|MAP3K7|MRAS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP_ABNORMAL_MORPHOLOGY_OF_THE_VESTIBULE_OF_THE_INNER_EAR,26,ENR,HP_ABNORMAL_MORPHOLOGY_OF_THE_VESTIBULE_OF_THE_INNER_EAR,1.7872,0.0045,HP_ABNORMAL_MORPHOLOGY_OF_THE_VESTIBULE_OF_THE_INNER_EAR,FALSE,HP_ABNORMAL_MORPHOLOGY_OF_THE_VESTIBULE_OF_THE_INNER_EAR
7,1,0.3394,0.0716,0.996,CATSPERG|IFT46|TPGS1|CFAP69|TTLL1|TTLL3|BBS2|CFAP70|DRD2|DNAI4|TTLL9|GSTM3|CCDC181|CCDC65|IFT172|IFT27|OXCT2|ANXA1|CFAP300|IFT52|DNAAF11|ATP1B1|ATP1B3|DNAH5|NME7|CFAP91|DRC1|GAS8|IQCG|NME5|SEPTIN7|SPATA6|SPATA6L|GABARAP|RSPH3|ATP2B4|SPEF2|CCDC34|ODF2|CFAP45|IFT20|IFT88|STARD10|ADAM15|QRICH2|DNAH10|DNHD1|CFAP36|RSPH14|CABCOCO1|EFCAB2|FLACC1|PMFBP1|IQCD|MAK|RSPH10B|FBXL13|SPMIP4|CFAP20|CFAP58|SLC9B2|CROCC|OFD1|SEPTIN10|DLD|SPEF1|CALM1|CALM2|CALM3|SLC9B1|CAMSAP3|HVCN1|INTU|DNAH14|DNAH17|PACRG|DNAH2|SLIRP|DNAH6|AK2|DNAH7|SPAG4|IFT74|PKD1|PKD2|CFAP119|ENKUR|RNF38|AK1|IQUB|TACR1|RAP1A|RPGR|SPACA9|PRKACA|ADCY10|VDAC2|AK7|CFAP251|CFAP43|CFAP61|HIF1A|TSGA10|ABHD2|DNAH1|SQSTM1|SORD|HYAL3|DAAM1|HAVCR1|SPATA33|NPHP1|ATP1A1|SEPTIN6|SSNA1|ACE|PFKM|AKAP3|CFAP53|CEP89|DNAAF5|BRWD1|CEP20|ODAD4|TCTE1|CAPZB|TEKT2|BBOF1|CCDC146|DNAH9|DNALI1|PRKAR1A|TOMM20|CUL3|SPAG16|CETN2|IFT81|MKKS|DYNLT4|RSPH4A|RSPH9|HSP90AA1|VPS13A|NHERF1|CCDC103|HSPD1|WDR19|CABYR|CATSPER3|SLC26A6|PAFAH1B1|KIF9|SPATC1L|IL4I1|BBS1|BBS4|ATG16L1|AK8|SPA17|ACTA2|RAN|CFAP44|MNS1|SAXO2|ARL13B|DYNC2H1|SEPTIN2|DYNC2LI1|SEPTIN4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_MOTILE_CILIUM,169,ENR,GOCC_MOTILE_CILIUM,1.787,0,GOCC_MOTILE_CILIUM,FALSE,GOCC_MOTILE_CILIUM
9,1,0.5892,0.0148,0.326,CPEB4|MEF2C|CDK5R1|GRIA1|GRIA2|GRIA3|GRIA4|PTK2B|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|GRIN2A|GRIN2B|GRIN2D|PLP1|GRIN3B|APP|CLN3,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,20,ENR,GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,2.0795,0,GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,FALSE,GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY
1,1,0.591,0.004,0.063,CENPP|MIS18A|TRAPPC12|CENPE|CENPF|H3-3A|KNTC1|H3-3B|SENP6|OIP5|POGZ|RNF4|CENPW|CENPT|ITGB3BP|CENPI|CENPV|CENPK|SUGT1|CENPX|NASP|CENPA|CENPC|MIS12|DLGAP5|RB1|CENPH|CENPN|HJURP|CENPO,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CENTROMERE_COMPLEX_ASSEMBLY,30,ENR,GOBP_CENTROMERE_COMPLEX_ASSEMBLY,2.2345,0,GOBP_CENTROMERE_COMPLEX_ASSEMBLY,FALSE,GOBP_CENTROMERE_COMPLEX_ASSEMBLY
4,0.996,0.5834,0.043,0.905,EIF1|EIF1AX|EIF3B|EIF3C|EIF3D|EIF3E|EIF3H|EIF3A|EIF3K|EIF3CL|EIF3F|EIF3G|EIF3I|EIF3J|EIF3L|EIF2S1|EIF3M,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX,17,ENR,GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX,1.8956,0.004,GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX,FALSE,GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX
1,1,0.4086,0.0152,0.349,MYH10|SEPTIN1|DCDC1|SEPTIN5|RTKN|KIF20B|KIF23|ANLN|KIF4A|KIF4B|APC|KLHDC8B|SEPTIN3|TTC19|SPIRE1|CIT|SPIRE2|BIN3|SEPTIN7|MAP9|RHOB|CECR2|AURKB|CENPA|RASA1|WNK1|CEP55|CFL1|BIRC5|CHMP1A|CHMP1B|CHMP2B|CHMP3|CHMP4A|CHMP5|CHMP6|SEPTIN10|ORC4|MITD1|STMN1|SEPTIN11|IQGAP2|SEPTIN9|ECT2|EXOC1|EXOC2|EXOC3|PLK1|EXOC4|RAB11FIP3|ARF6|EXOC5|EXOC6|EXOC6B|IQGAP1|EXOC7|SEPTIN14|EXOC8|POLDIP2|KIF20A|RHOA|SPTBN1|FMN2|SON|ALKBH4|PLEC|RAB11A|CDCA8|USP8|TRIM36|SNX18|ARF1|CNTROB|WASHC5|SEPTIN6|CHMP2A|CHMP4B|CHMP4C|CKAP2|LZTS2|CHMP7|SPAST|TMEM250|ANK3|EFHC1|RHOC|ZFYVE26|STAMBP|ACTR2|ACTR3|NUP62|ROCK1|ESPL1|NUSAP1|ROCK2|SNX33|SNX9|PDCD6IP|RAB35|SEPTIN8|BBS4|VPS4A|IST1|VPS4B|UNC119|CUL7|RACGAP1|JTB|ARL3|INCENP|DCTN3|ANKRD53|SEPTIN2|IQGAP3|SEPTIN4,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS,115,ENR,GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS,2.0724,0,GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS,FALSE,GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
1,1,0.4497,0.0026,0.031,ABRAXAS1|KIF14|SEH1L|SEPTIN1|SGO1|SKA1|KNL1|SKA2|KNTC1|SKA3|AURKC|BECN1|MAD1L1|SPAG5|APC|BOD1|SPICE1|CDC42|AURKB|CENPC|CENPQ|CEP55|CHAMP1|BIRC5|CHMP1A|NDC80|CHMP1B|CHMP2B|CHMP3|CHMP4A|CHMP5|CHMP6|NUF2|BUB3|TRAPPC12|DCTN2|DSN1|DYNC1H1|CCNB1|ECT2|EML3|EML4|TTL|CDC23|GEM|CDCA5|RAB11A|CDCA8|CDK1|HNRNPU|RB1|KAT2B|KAT5|KIF18A|RCC2|KIF22|CDT1|KIF2C|CENPE|CENPF|CHMP2A|KIFC1|CHMP4B|CHMP4C|KNSTRN|CHMP7|KPNB1|SIRT2|CUL3|MAP1S|MAPRE1|SPC24|SPC25|SPDL1|MEIOC|MIS12|MLH1|TEX14|NEK2|NSL1|NUDC|NUMA1|NUP62|FAM83D|PDCD6IP|PIBF1|PINX1|PMF1|VPS4A|VPS4B|PSRC1|ZNF207|RACGAP1|ZW10|ZWILCH|ZWINT|ABRAXAS2|RMDN1|INCENP|RRS1|ANKRD53,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_METAPHASE_CHROMOSOME_ALIGNMENT,101,ENR,GOBP_METAPHASE_CHROMOSOME_ALIGNMENT,2.296,0,GOBP_METAPHASE_CHROMOSOME_ALIGNMENT,FALSE,GOBP_METAPHASE_CHROMOSOME_ALIGNMENT
5,1,0.5333,0.0262,0.596,RBM41|RNPC3|SNRNP48|LSM7|ZCRB1|ZMAT5|SF3B1|SF3B2|SF3B3|SF3B4|SF3B5|SF3B6|SNRNP35|SNRPB|PHF5A|YBX1|SNRPD1|SNRPD2|SNRPD3|SNRPE|SNRPF|SNRPG|ZRSR2|PDCD7|DHX15|SNRNP25,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX,26,ENR,GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX,2.0051,0,GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX,FALSE,GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX
