"__mclCluster","EnrichmentMap::Colouring (Dataset 1)","EnrichmentMap::ES (Dataset 1)","EnrichmentMap::fdr_qvalue (Dataset 1)","EnrichmentMap::fwer_qvalue (Dataset 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Dataset 1)","EnrichmentMap::pvalue (Dataset 1)","name","NumChildren","NumDescendents","selected","shared name"
,"1.0","0.4806","0.0324","0.455","CAB39|LAMTOR4|PRKAA2|LAMTOR5|PRKAB2|PRKAG2|TSC1|STK11|TSC2|LAMTOR1|RHEB|LAMTOR2|RRAGB|LAMTOR3|RRAGC|RRAGD|SLC38A9|MLST8|RPTOR|MTOR|CAB39L|STRADA|STRADB|PRKAA1|PPM1A|PRKAB1|RRAGA|PRKAG1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK","28","ENR","REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK","1.8062","0.0","REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK",,,"false","REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK"
"1","1.0","0.4006","0.0114","0.053","FEN1|LIG1|PCNA|POLD1|POLD2|POLD3|ORC1|POLD4|ORC2|POLE|ORC3|POLE2|CCNA1|ORC4|POLE3|CCNA2|ORC5|POLE4|CCNE1|ORC6|RFC1|CCNE2|RFC2|RFC3|RFC4|RFC5|PSMA1|PSMA2|FZR1|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|CDC45|PSMB8|CDC6|PSMB9|RPA1|PSMC1|RPA2|CDT1|PSMC2|RPA3|PSMC3|GMNN|PSMC4|PSMC5|MCM2|PSMC6|MCM3|PSMD1|MCM4|PSMD10|MCM5|PSMD11|MCM6|PSMD12|MCM7|PSMD13|MCM8|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|GINS1|PSMD6|CUL1|GINS2|PSMD7|GINS3|PSMD8|GINS4|PSMD9|PSME1|SKP2|PSME2|PSME3|PSME4|PSMF1|RBX1|RPS27A|SEM1|SKP1|DNA2|UBA52|UBB|UBC|ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|CDC16|CDC23|CDC26|CDC27|POLA1|POLA2|PRIM1|PRIM2|UBE2C|UBE2D1|UBE2E1|UBE2S|CDK2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SYNTHESIS_OF_DNA","119","ENR","REACTOME_SYNTHESIS_OF_DNA","2.0933","0.0","REACTOME_SYNTHESIS_OF_DNA",,,"false","REACTOME_SYNTHESIS_OF_DNA"
"2","0.9912","0.5316","0.0224","0.273","CPSF1|CPSF6|SYMPK|CPSF4|WDR33|CPSF7|CSTF2|NCBP1|NCBP2|CSTF1|CSTF2T|CSTF3|PABPN1|NUDT21|PCF11|PAPOLA|FIP1L1|CPSF2|CLP1|CPSF3","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS","20","ENR","REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS","1.8938","0.0088","REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS",,,"false","REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS"
"1","1.0","0.3741","0.014","0.127","TFDP1|TFDP2|FEN1|LIG1|AKT1|AKT2|AKT3|ESCO1|PCNA|ESCO2|RBBP4|POLD1|POLD2|POLD3|ORC1|POLD4|ORC2|POLE|ORC3|POLE2|CCNA1|ORC4|POLE3|CCNA2|ORC5|POLE4|CCNE1|ORC6|RFC1|CCNE2|RFC2|RFC3|RFC4|RFC5|PSMA1|PSMA2|FZR1|PSMA3|PSMA4|PSMA5|PSMA6|CKS1B|PSMA7|E2F4|PSMB1|CCNH|E2F5|PSMB10|CDK7|PSMB2|PSMB3|PSMB4|RBL2|PSMB5|PSMB6|PSMB7|CDC45|CDKN1A|PSMB8|CDC6|CDKN1B|PSMB9|RPA1|MNAT1|PSMC1|RPA2|CDT1|PSMC2|RPA3|PSMC3|GMNN|PSMC4|PSMC5|MCM2|PSMC6|MCM3|PSMD1|MCM4|PSMD10|MCM5|PSMD11|MCM6|PSMD12|MCM7|PSMD13|MCM8|PSMD14|PSMD2|PSMD3|WEE1|PSMD4|PSMD5|GINS1|PSMD6|CUL1|GINS2|PSMD7|GINS3|PSMD8|GINS4|PSMD9|PSME1|SKP2|PSME2|PSME3|PSME4|PSMF1|RB1|RBX1|RPS27A|SEM1|SKP1|LIN37|LIN52|LIN54|LIN9|MAX|CCND1|PTK6|DNA2|GSK3B|PDS5A|UBA52|PDS5B|UBB|UBC|ANAPC1|RAD21|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|SMC1A|SMC3|CDC25A|CDC16|CDC25B|CDC23|CDC26|CDC27|STAG1|CDCA5|STAG2|POLA1|POLA2|PRIM1|PRIM2|UBE2C|UBE2D1|UBE2E1|UBE2S|MYC|WAPL|CABLES1|CDK2|CDK4|E2F1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_S_PHASE","161","ENR","REACTOME_S_PHASE","1.9792","0.0","REACTOME_S_PHASE",,,"false","REACTOME_S_PHASE"
"1","-1.0","-0.642","1.0E-4","0.001","H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3-3A|H3-3B|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|AR|KDM1A|KDM4C|NCOA2|PKN1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3","58","ENR","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3","-2.1527","0.0","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",,,"false","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3"
"1","-1.0","-0.6058","3.0E-4","0.005","H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3-3A|H3-3B|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|ATF7IP|H4C5|EHMT1|H4C8|EHMT2|H4C9|MORC2|MPHOSPH8|MTREX|PPHLN1|RBM7|SETDB1|TASOR|ZCCHC8","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX","64","ENR","REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX","-2.0374","0.0","REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX",,,"false","REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX"
"3","-0.9848","-0.4994","0.0937","1.0","CACNA1I|CACNB1|CACNB2|CACNB3|CACNB4|CNTN2|GDNF|GFRA1|GFRA2|NCAM1|NCAN|NRTN|PRNP|PSPN|ST8SIA2|ST8SIA4|COL2A1|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL5A1|COL5A2|COL5A3|COL6A1|COL6A2|COL6A3|COL9A1|COL9A2|COL9A3|AGRN|ARTN|CACNA1C|CACNA1D|CACNA1G|CACNA1H","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NCAM1_INTERACTIONS","38","ENR","REACTOME_NCAM1_INTERACTIONS","-1.5575","0.0152","REACTOME_NCAM1_INTERACTIONS",,,"false","REACTOME_NCAM1_INTERACTIONS"
"6","0.9947","0.4827","0.0218","0.253","SIRT3|FH|NFS1|IDH3A|CS|MDH2|ACAT1|FXN|OGDH|SUCLG2|IDH3G|TRAP1|DLST|IDH3B|DLD|NNT|SUCLA2|SUCLG1|CSKMT|IDH2|ISCA1|ISCA2|SDHA|SDHAF1|SDHAF2|SDHAF3|SDHAF4|ACO2|SDHB|SDHC|SDHD|ISCU|LYRM4","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE","33","ENR","REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE","1.9017","0.0053","REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE",,,"false","REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE"
"1","0.9955","0.4617","0.0472","0.707","CDK1|TFDP1|TFDP2|HDAC1|PCNA|RBBP4|CCNA1|CCNA2|CCNE1|CCNE2|MYC|MYBL2|DYRK1A|E2F4|E2F5|LIN37|TOP2A|LIN52|LIN54|RBL1|LIN9|RBL2|MAX|CDC6|CDK2|CDC25A|E2F1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_G0_AND_EARLY_G1","27","ENR","REACTOME_G0_AND_EARLY_G1","1.7135","0.0045","REACTOME_G0_AND_EARLY_G1",,,"false","REACTOME_G0_AND_EARLY_G1"
"1","0.988","0.3912","0.0712","0.921","RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS2|RPS18|RPS19|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS5|RPS8|RPSA|RPS27A|RPS6|RPS14|RPS7|RPS9|HNRNPA1|EEF1A1|RPS27|FAU","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY","36","ENR","REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY","1.6035","0.012","REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY",,,"false","REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY"
"1","0.9827","0.4636","0.0584","0.826","HEYL|WWC1|CREBBP|PBX1|MAML1|MAML2|MAML3|MAMLD1|NOTCH1|SNW1|KAT2A|KAT2B|STAT1|RBPJ|DLGAP5|EP300|FABP7|HES1|HES5|HEY1|PLXND1|HEY2|NOTCH3","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION","23","ENR","REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION","1.6568","0.0173","REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",,,"false","REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION"
"1","1.0","0.4226","0.021","0.239","DAB2IP|KBTBD7|RASA1|UBA52|RASA2|UBB|RASA3|UBC|RASA4|RASAL1|RASAL2|SYNGAP1|HRAS|PSMA1|PSMA2|CUL3|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|KRAS|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RBX1|RPS27A|SEM1|NF1|NRAS|SPRED1|SPRED2|SPRED3","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_REGULATION_OF_RAS_BY_GAPS","65","ENR","REACTOME_REGULATION_OF_RAS_BY_GAPS","1.9098","0.0","REACTOME_REGULATION_OF_RAS_BY_GAPS",,,"false","REACTOME_REGULATION_OF_RAS_BY_GAPS"
"5","1.0","0.5693","0.0135","0.106","BBS2|BBS4|BBS5|BBS7|BBS9|LZTFL1|MKKS|CCT2|CCT8|MCHR1|TTC8|RAB3IP|SMO|TCP1|ARL6|CCT3|BBIP1|CCT4|BBS1|CCT5|BBS10|BBS12","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM","22","ENR","REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM","2.0067","0.0","REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM",,,"false","REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM"
