NAME	TITLE	SCORE	
KHDC1-AS1		2.470647	
TRIB2		2.4674404	
LAMA2		2.4573197	
FAM66C		2.457298	
TNFSF10		2.4560776	
RPL23A		2.4534848	
EFCAB2		2.4534156	
LINC02381		2.4487658	
SGO2		2.4483852	
DYNC2LI1		2.4420264	
FBN3		2.4411964	
TMEM67		2.4390187	
GTF2IP4		2.4382493	
ACTR10		2.4376051	
DHRS4-AS1		2.427785	
TMEM237		2.4276397	
ZNF641		2.4273043	
HOXA13		2.424879	
LINC00641		2.4248364	
FOLH1		2.4238744	
CENPE		2.4210815	
ZHX2		2.418554	
HMGCS1		2.4067867	
SLC39A12		2.4035096	
RFTN2		2.3999708	
TBC1D15		2.397278	
SMIM30		2.393622	
DNAJC17		2.3912156	
MSANTD3-TMEFF1		2.389236	
CDC42		2.386786	
HNRNPH2		2.3842728	
ZFP30		2.3731513	
UPF3A		2.371846	
LACTB2-AS1		2.3712294	
PRODH		2.3696122	
MRPS14		2.3680077	
ZCCHC18		2.3628027	
MARK1		2.3607924	
ENPP2		2.3599217	
GKAP1		2.3575852	
FARP1		2.3541698	
ABCA5		2.353779	
NIPSNAP2		2.353186	
KCTD16		2.344991	
KCNIP4		2.3397133	
DDIAS		2.3391557	
CCDC167		2.3332767	
NKAIN3		2.3324335	
PWWP3B		2.3267338	
NLGN3		2.3218443	
BPGM		2.3212726	
HMGB1		2.3185833	
SYTL5		2.3165379	
BDH2		2.3164475	
DENND1B		2.315984	
PPP5D1P		2.3125184	
ZNF232-AS1		2.3123941	
NADK2		2.3061187	
TMEM139		2.3029394	
DLGAP1		2.2958794	
DPY19L4		2.2870688	
ENKUR		2.2847884	
CFAP46		2.282116	
ADCY2		2.2783113	
NFATC3		2.2739167	
ZNF273		2.271785	
SLC40A1		2.2689912	
VWA5A		2.2642517	
FAM133B		2.2548072	
UFSP2		2.2500825	
STX8		2.2499518	
ECI2		2.2484572	
KCNH5		2.2475085	
PHKB		2.2404633	
TRIM22		2.236703	
HMGB3		2.2309499	
FAM98B		2.2303264	
ZNF480		2.2282674	
MRPL30		2.227007	
MTMR10		2.226383	
LPAR6		2.224612	
CEP63		2.2210305	
TEX9		2.2199092	
INAVA		2.2180793	
ZNF227		2.2178016	
DNAI4		2.2139597	
ZNF649		2.2127285	
CARD8		2.2107036	
TFPI		2.2080958	
MAP6		2.2079477	
COL26A1		2.2077122	
DTD2		2.2045307	
DNAAF4		2.201724	
GTDC1		2.1988144	
B3GLCT		2.1984375	
CLSTN2		2.1943889	
PPIE		2.19404	
DIS3L		2.1922414	
ARHGEF26		2.1901848	
MPPED2		2.1883194	
DNAH7		2.185163	
KIF15		2.185029	
GALNT10		2.177443	
SPATA7		2.175299	
SCP2		2.175243	
FSBP		2.1737213	
SGCB		2.1725242	
TRIM5		2.170245	
TTC5		2.1688626	
SLC47A2		2.165536	
APOL4		2.1641498	
GCNT2		2.1626365	
SLC25A53		2.1577418	
TSPAN11		2.1509955	
LINC00662		2.1488564	
RADX		2.1461926	
TMSB4XP4		2.1457386	
ZNG1B		2.1444843	
STK38L		2.1408198	
ECM2		2.1404321	
LINC02693		2.1364937	
ALDH1A2		2.1348455	
GMFB		2.1340694	
AGBL3		2.1336403	
NAPEPLD		2.131469	
DDAH1		2.1286428	
FAM3C		2.128055	
ZNF181		2.1253307	
CPM		2.124361	
RPL9		2.1230683	
ZNF528-AS1		2.1211889	
KCND3		2.1200826	
PARP1		2.1198308	
FKBP3		2.11353	
ZNF677		2.1127987	
LOC340090		2.1120346	
BMP5		2.1099198	
TIMM21		2.1076264	
EIF4E		2.1075082	
SRR		2.1068156	
LOC107985911		2.105298	
PRC1		2.097963	
CXXC4		2.0941136	
ND3		2.0940154	
NDC80		2.090452	
ZNF146		2.0891414	
CHMP3		2.0883076	
ANP32A		2.088197	
FCF1		2.086046	
GLRA2		2.0853376	
OLIG2		2.080906	
LINC02987		2.077006	
ZFP3		2.0766792	
WDR31		2.0762837	
SH3BGRL		2.0730631	
ZNF117		2.0728016	
PANK1		2.071412	
CSGALNACT1		2.0674837	
EYA4		2.0649204	
NDUFA4		2.0647252	
SLC25A40		2.064522	
GGPS1		2.0634427	
LANCL2		2.0616434	
COMMD2		2.0612617	
YAF2		2.060845	
EFHC1		2.0602467	
TNFAIP8L1		2.05891	
SRI		2.0562766	
SDC3		2.05151	
CKAP2		2.049701	
BUB1		2.0493004	
PKIB		2.0491407	
ANOS1		2.0465338	
SEPTIN2		2.0460002	
MIX23		2.0459006	
N6AMT1		2.0458193	
ZNF197-AS1		2.0454388	
BCAP29		2.0450401	
FEZ2		2.0449367	
LFNG		2.0445836	
TAF13		2.043652	
MTREX		2.0432749	
IRAK1BP1		2.03951	
PNMA8A		2.0391562	
EFCAB7		2.03834	
DZIP1		2.038218	
ARMCX3		2.0350559	
BPTF		2.0337923	
GYG2		2.0334313	
ZDHHC17		2.030264	
RGS6		2.028914	
UBXN2A		2.0274355	
SEMA4F		2.0250773	
PPM1B		2.0234408	
KCNJ16		2.0223327	
IRF6		2.020951	
CDH10		2.0189846	
TCEAL4		2.0177927	
CENPK		2.0168567	
ARHGAP11A		2.0137267	
PFDN4		2.0136745	
CCDC59		2.0126655	
DNAJC12		2.011451	
MSTN		2.01099	
ATP5MF		2.0098245	
PPIH		2.0078154	
ANXA2R		2.0067344	
FBXO5		2.0054758	
E2F5		2.005066	
ERCC8		2.0022063	
CDK5RAP2		1.9999853	
LINC01322		1.9992938	
FAM227B		1.9982798	
CASC2		1.9967679	
PODN		1.996085	
HIBADH		1.9957314	
ARMT1		1.9938378	
VEZT		1.9930276	
DDX6		1.9915625	
GRIK1		1.9879837	
USP46		1.9876982	
POMZP3		1.9868125	
MFNG		1.9852781	
CEP112		1.9846866	
BEND6		1.9837275	
BUB1B		1.9812971	
ACER3		1.9795979	
ARNT2		1.9781563	
KRBOX5		1.9777502	
ARHGAP20		1.9765478	
SUGCT		1.9754902	
CSPP1		1.9745914	
MAP2		1.9728951	
TRIM36		1.9728237	
NCAPD3		1.9728038	
PTGFRN		1.971665	
FGF7P6		1.9713709	
MARCKS		1.9700577	
EIF3J-DT		1.9644527	
SECISBP2L		1.9604157	
MRPS9		1.9593537	
IFT80		1.9585887	
ZNF311		1.9555607	
LOC107986163		1.9555206	
CA10		1.9535867	
PPIEL		1.9523896	
SESN1		1.9521253	
PTN		1.9516304	
AZIN2		1.9512416	
COMMD10		1.9486005	
KIF18A		1.9463772	
ZNF20		1.946277	
BRMS1L		1.9461433	
CASTOR3P		1.9448051	
REEP1		1.9415754	
TOP2A		1.9412967	
EMC2		1.9412946	
MRPL42		1.9412308	
SUCLA2		1.9366835	
BBS4		1.9361333	
MDH1B		1.9360346	
SRP9		1.9348962	
UQCC2		1.9339693	
MDM1		1.9320265	
NDP		1.9314144	
ARL14EP		1.9313388	
CLUAP1		1.929283	
S100B		1.9267714	
UNC119B		1.9261158	
SKAP2		1.9259926	
CD101		1.9259393	
LMCD1-AS1		1.9256088	
HIP1		1.9218403	
LRRCC1		1.9216634	
CLIC6		1.9216483	
PWAR5		1.9208645	
ALKAL2		1.9180914	
KRIT1		1.9173411	
PPP1R1B		1.9169714	
ZNF45		1.914794	
ARMC2		1.912888	
SPAG16		1.9110174	
SELENOW		1.9095635	
HDHD2		1.9086086	
LYRM2		1.9079412	
SPA17		1.9075161	
SLC26A4		1.9064009	
AP4S1		1.9058096	
ZNF853		1.9037158	
PGM5P3-AS1		1.9034258	
HIBCH		1.9031763	
ZNF664		1.9009128	
ADAM23		1.9007971	
ZNF680		1.9006935	
HLF		1.9005194	
LIN52		1.9005123	
ANP32E		1.9004087	
PMP2		1.900271	
MAGEL2		1.9001945	
BEAN1		1.8985976	
ZNF730		1.8970482	
NEDD1		1.8958353	
ATP8		1.8958116	
RAP2A		1.892925	
CETN3		1.8927455	
CHURC1		1.8922595	
C6orf52		1.8922406	
WDR35		1.8910115	
MBTPS2		1.89038	
JADE3		1.8889624	
DGKB		1.8889285	
BEX4		1.8885393	
COA5		1.886946	
CASP3		1.8861332	
SNX10-AS1		1.8843794	
CREB5		1.8839583	
UBTD2		1.8795295	
CHODL		1.8792573	
DNAL1		1.8780599	
CLHC1		1.8773322	
TPRG1		1.8766373	
SNX2		1.8765033	
KLHL5		1.8763051	
IFT81		1.8759153	
RAB28		1.8747404	
EXOC6B		1.8728762	
ALDH5A1		1.8720555	
RWDD2B		1.8700764	
PCCA		1.8683563	
ZMAT3		1.8678252	
SPATA17		1.8661758	
ZNF253		1.863419	
GPR155		1.8630164	
GRIA1		1.861951	
ABLIM1		1.8617047	
CHD3		1.85835	
RAMP1		1.8528914	
YAE1		1.852607	
LRRC37A3		1.8507545	
KCND2		1.8500117	
STXBP5		1.849478	
HDGFL3		1.8493781	
URGCP-MRPS24		1.8492923	
ATP13A4		1.8486141	
OLFML1		1.8476977	
GLB1L		1.8472204	
NTN4		1.8458215	
VPS50		1.8429623	
ABAT		1.8426666	
PHOSPHO2		1.8422196	
LOC127239154		1.8413031	
NICN1		1.8404723	
NCAPG2		1.8403966	
MIR99AHG		1.8400077	
PODXL		1.8390344	
DMTF1		1.8385679	
SUCLG2		1.8366972	
PSMA3-AS1		1.8366141	
IFTAP		1.8348486	
TXLNB		1.834643	
MYCN		1.8340473	
ZNF177		1.8325496	
CYFIP2		1.8296505	
TCEAL8		1.8281802	
NMU		1.8278594	
LDLRAD4		1.8271242	
ING3		1.8264232	
NDUFC2-KCTD14		1.8250251	
WBP4		1.8238481	
DYNC1I2		1.8233863	
ZNF880		1.8216913	
MORN2		1.8204498	
ERH		1.8203367	
C16orf87		1.8198692	
KLHL42		1.8165369	
NWD1		1.8154557	
MITD1		1.8137958	
ARL5A		1.8119624	
NFE2L2		1.8117146	
CDHR3		1.8108876	
ZC2HC1A		1.8106116	
ATL1		1.8100853	
ZNF85		1.809689	
CBX3		1.8094761	
PCNP		1.809236	
NSF		1.8091955	
JAM2		1.8090417	
ZNF223		1.8076112	
VPS35		1.8074144	
MTARC2		1.8062935	
C1QTNF3		1.8052937	
HEY1		1.804372	
CIR1		1.8042518	
SSBP1		1.8042297	
DYNLL2		1.8036926	
PIRT		1.8036516	
APOM		1.8016019	
BMT2		1.7997485	
PURG		1.7995775	
IQCE		1.7986295	
BCLAF3		1.7980962	
ZFP90		1.7973067	
PLEKHA4		1.7964404	
GRIK5		1.7964387	
ZNF501		1.7963669	
C3orf70		1.7956694	
HNRNPU		1.7954435	
RRAGB		1.7952286	
INHBB		1.7947628	
GDF11		1.7945802	
PGM5		1.7944643	
FGL2		1.7940787	
HOXA5		1.7925888	
TIMP4		1.7925735	
BBS1		1.7895304	
SCN2A		1.7891386	
CEP20		1.788842	
PPIG		1.7875478	
NOL11		1.7868265	
AIG1		1.7865984	
RHNO1		1.785249	
HMGN3		1.7845557	
COLQ		1.7836996	
ZFP2		1.7811583	
SPIN4		1.7811252	
ZDHHC21		1.7805928	
NR1D2		1.7799009	
PAPSS1		1.7787004	
MED21		1.7757224	
ZNF827		1.7754971	
DEPDC1B		1.7750087	
THAP5		1.7723409	
KIF2A		1.7719342	
HINT3		1.771804	
NBEA		1.7704579	
POT1-AS1		1.7695727	
PDS5B		1.7690332	
SDK2		1.7689911	
ZFP62		1.7685004	
LRRC2		1.7675817	
TERF1		1.7654955	
SARNP		1.7647184	
PDE4B		1.7644005	
ZNF22		1.7643195	
CXCL16		1.7642354	
ZNF235		1.7628862	
PTENP1-AS		1.7628556	
EPC2		1.7624837	
RNF146		1.762063	
C18orf54		1.7618765	
ZNF804B		1.7603756	
STRADB		1.7600726	
ABI2		1.7592962	
TRIM2		1.7589595	
GASK1B		1.7589355	
MAD2L1		1.7587371	
PHPT1		1.7587365	
TOP2B		1.7582705	
CDH2		1.7582303	
LRRTM2		1.7574338	
SMARCA1		1.7573681	
RBMX		1.7569706	
HP1BP3		1.7561519	
TAPT1		1.7552631	
AFG1L		1.7551813	
CEMIP		1.7525216	
NBPF3		1.7522621	
PDE1C		1.7510132	
LOC124902114		1.7508824	
ZNF420		1.7504183	
NEK2		1.7499909	
PMPCB		1.749939	
PIP4K2B		1.7490332	
GSTA4		1.746311	
NUSAP1		1.7458942	
AFTPH-DT		1.7445153	
MBIP		1.7441328	
SUCLG2-DT		1.7429742	
SFRP1		1.7428243	
MEF2C-AS2		1.7421476	
DLEU1		1.7421391	
SENP6		1.7415931	
LRCH2		1.7407612	
HDX		1.7390586	
MMP16		1.7387522	
NFYB		1.738083	
LSM14A		1.7378584	
UBE2D4		1.7370319	
SSBP2		1.7369376	
PRR11		1.7354848	
CCDC90B		1.7349527	
RCN2		1.7345465	
KLHL23		1.7343421	
UBXN2B		1.7338696	
ZNF487		1.7338051	
FABP4		1.7336469	
C5		1.7333246	
RLBP1		1.7312064	
LAMTOR3		1.730632	
CTNND1		1.7300806	
KCNJ6		1.7291044	
MPPED2-AS1		1.7288812	
PTPN21		1.7281781	
ZNF92		1.7266548	
KCNMB4		1.7260858	
ADAMTS6		1.7259411	
CENPQ		1.7256001	
CEP57L1		1.7230786	
DOCK3		1.7224706	
SNX4		1.7200375	
LARP7		1.7193223	
TSPAN6		1.7188096	
OLFM2		1.7185479	
NAIP		1.718256	
TROAP		1.717359	
TMEM64		1.7170424	
GLMN		1.7167661	
ZNF793		1.7161796	
TTC32		1.7137306	
FANCI		1.7134365	
MTM1		1.7129377	
ZNF19		1.7127969	
RABL2A		1.7125036	
CLSTN1		1.7105925	
TSEN15		1.7088726	
FRRS1L		1.7077167	
ZNF528		1.7070352	
ZNF596		1.706633	
KRCC1		1.7064779	
FAM47E		1.7059484	
SLC30A9		1.7051955	
NDUFA1		1.704721	
TRNAU1AP		1.7038295	
CTSV		1.7032299	
TENM1		1.7027688	
KCTD6		1.7019972	
TRA2B		1.7011368	
GSPT2		1.7000659	
ZNF93		1.6997745	
POLR3GL		1.6993647	
SCRN1		1.6992021	
C18orf32		1.6976243	
GLCCI1		1.6973053	
SCNN1B		1.6967298	
PDLIM5		1.6961688	
CYP46A1		1.6959113	
CPB2-AS1		1.6958182	
THAP2		1.6956205	
PPP2R5E		1.6955667	
TTLL9		1.6955141	
FAM72D		1.6951424	
ANAPC13		1.6947651	
SCFD1		1.6939429	
IFITM2		1.6936533	
OTUD6B-AS1		1.6922354	
MEX3A		1.6918637	
DOK6		1.6916543	
ZNF419		1.6913643	
SIAE		1.6913387	
TDRP		1.6912963	
FBXO3		1.6907343	
LBH		1.6892354	
PHF6		1.688722	
FNBP1L		1.6873479	
ZC3H7A		1.6837835	
FIGN		1.6834396	
CCDC169-SOHLH2		1.6831503	
NORAD		1.6815723	
CEP68		1.6814088	
SRRD		1.6809416	
NDUFAF4		1.6806428	
LOC102723553		1.6800346	
ZNF610		1.6799773	
CLPX		1.6791341	
SPCS2		1.6784734	
ZNF232		1.6783373	
ZNF711		1.678218	
CDK14		1.6770903	
LZIC		1.6766665	
KIF14		1.6754483	
SSB		1.6741341	
LITAF		1.673668	
PCMTD2		1.6724662	
NUDT3		1.6723877	
CAB39L		1.6721369	
TMEM126B		1.6712239	
TIGAR		1.6711898	
HADHB		1.6707389	
GPM6A		1.6705408	
RCBTB2		1.6697842	
ZDHHC15		1.669127	
RBM41		1.6687455	
CADM2		1.6686472	
LINC01963		1.6671649	
EIF3E		1.665764	
PPFIBP2		1.6644887	
PPIL6		1.6642108	
RPS11		1.6639315	
CA2		1.6627479	
CDCA7L		1.6616429	
APBB2		1.661627	
RNA5S1		1.6611944	
UBE2E1		1.6605393	
COX16		1.6599379	
FAM107B		1.6593949	
MYO5C		1.6590793	
IFT122		1.657783	
RAB27B		1.6574658	
MICOS10		1.6571633	
CCDC102B		1.6538982	
RNF180		1.6531703	
MBTD1		1.6519274	
CCDC61		1.651302	
NEO1		1.6507957	
PARD3B		1.6507255	
GPD1		1.6500751	
RPE		1.6483691	
GAR1		1.648202	
ANKRD20A2P		1.647799	
DENND5B		1.6474327	
RIDA		1.6471586	
EIF3K		1.6467617	
CDC42EP4		1.646457	
ESD		1.6464344	
SMC2		1.6461738	
VPS45		1.6451395	
HHAT		1.6449219	
IRAK4		1.6449089	
ENAH		1.6437669	
SLC26A7		1.6435391	
MRFAP1L1		1.6434822	
ZNF277		1.6430514	
RAPGEF4		1.6429965	
ZNF254		1.642827	
SLC25A12		1.6427069	
KPNA1		1.6418669	
MLLT10P2		1.6412494	
ATXN7L3B		1.6411084	
ANAPC10		1.6403491	
SP4		1.6402221	
HOXA7		1.639898	
MGAM2		1.6398708	
CFDP1		1.639214	
CD302		1.6391652	
MACIR		1.6383337	
CMTM3		1.6380446	
PSMG3-AS1		1.6377375	
PCDHB5		1.6376371	
FBXL17		1.6374826	
CCDC148		1.6374142	
CIRBP		1.6371679	
KIF4A		1.6369725	
PCDHGB7		1.636411	
ZNF682		1.6360893	
ACTR6		1.6353734	
ARMCX5-GPRASP2		1.635144	
THUMPD2		1.6341646	
CCN4		1.6335887	
ERI2		1.6334797	
LOC102724843		1.6333276	
ZNF569		1.6333026	
UBE2E3		1.6324596	
ARHGEF26-AS1		1.6323999	
ECT2		1.6322774	
COL11A1		1.6320847	
LRRC27		1.6319777	
HDAC6		1.631514	
ENOX2		1.6311651	
SLC15A3		1.6311331	
KMT5B		1.6309986	
DNAH9		1.6309563	
CRYBB2		1.6301522	
NRG1		1.6291409	
FIG4		1.6286508	
CREB1		1.6273667	
LGR5		1.6269675	
MIR497HG		1.6266148	
KIAA0319		1.6263257	
ILF2		1.62617	
SEM1		1.626097	
RBPMS		1.6259665	
PPP1CC		1.6249156	
ZNF112		1.6248667	
STRBP		1.6248317	
C2orf76		1.6231076	
TSPYL4		1.6229227	
GNG7		1.6226285	
THAP12		1.622292	
SP8		1.6220542	
NEK1		1.6205257	
SPMIP4		1.619436	
KPNA2		1.6192398	
ACBD7		1.618058	
RBM43		1.6141258	
DCP1B		1.6139299	
MRPL33		1.6132486	
LDAH		1.610612	
SAE1		1.6094918	
VBP1		1.6094543	
KCNC1		1.6091226	
ZNF429		1.6080909	
RHOQ		1.6078933	
PIGM		1.6078051	
ZNF107		1.6075373	
C2CD5		1.6071954	
OIP5-AS1		1.6066946	
RAD54B		1.6060356	
TRAPPC6B		1.6059052	
MYORG		1.6055452	
EAF2		1.6054496	
BMX		1.6010792	
BRD7		1.6005899	
HERC2P9		1.600247	
IRS2		1.599002	
GSTCD		1.598447	
KCTD3		1.5980933	
CRIPT		1.5980421	
FLJ16779		1.5973725	
NPHP1		1.5970473	
RCBTB1		1.5970198	
HNRNPR		1.5969365	
BORA		1.5962819	
BLOC1S6		1.5962241	
OTUD6B		1.5945152	
SRPK2		1.5935087	
BAZ1A-AS1		1.5932082	
HERPUD2-AS1		1.5928626	
MAPK10		1.5928181	
ZNF433		1.5918907	
NUDT4B		1.5905285	
SAMD13		1.589861	
BLOC1S1		1.5895176	
REV1		1.5894173	
POT1		1.5885215	
TUBA1A		1.5884284	
RDX		1.5883266	
ZNF347		1.5877306	
SERAC1		1.587267	
LIMA1		1.5867392	
CD27-AS1		1.5865521	
TRAPPC2B		1.5851989	
CNPY2		1.5837483	
SEPTIN11		1.5833449	
HNRNPH1		1.5831755	
HPF1		1.5826671	
CRTC3		1.5825241	
ATP5MG		1.5824878	
RPGR		1.582229	
IL33		1.5818075	
PRMT2		1.581457	
RHOJ		1.5814135	
TOMM7		1.5812577	
PSIP1		1.5807863	
LTBP1		1.5807507	
CBLL1-AS1		1.5805559	
ARHGEF9		1.5796471	
PIP4P2		1.5786047	
FAM81A		1.5785505	
RAP2C-AS1		1.5785428	
HS3ST1		1.5779468	
NT5C3B		1.577459	
FANCL		1.5766598	
ATP2B1-AS1		1.5764884	
PARP2		1.576251	
LINC02256		1.5754737	
KIF4B		1.5750023	
GPR37		1.5749521	
OXR1		1.5747814	
USF1		1.5741636	
DPH5		1.5739762	
ARNT2-DT		1.5735575	
FRS2		1.5731958	
GOLGA8B		1.5728512	
RALA		1.5708007	
PTENP1		1.5699297	
TADA1		1.569772	
YPEL1		1.5690029	
MANBA		1.5687591	
GPATCH11		1.5679462	
PARP11		1.5678355	
SOCS2		1.5675616	
PLGRKT		1.5656224	
TIA1		1.5651367	
ID4		1.5650007	
BTF3L4		1.5642636	
DOCK4		1.5636188	
SOWAHC		1.5635954	
DPP6		1.5633826	
SPATA24		1.562424	
RBM34		1.5623012	
ACTR2		1.5621978	
MOB1B		1.5621239	
KIF2C		1.5621235	
TCEAL9		1.5620393	
LRRTM4		1.5606607	
DECR1		1.5595201	
EFNB2		1.5592967	
EIF5B		1.5583375	
SYT14		1.5579865	
NUDT4		1.5574323	
ZNF708		1.5572909	
ITGB5		1.5558496	
OSCP1		1.5551449	
ZNF195		1.5544522	
PAFAH1B1		1.5540897	
CREM		1.5530545	
COIL		1.5529567	
RBM7		1.5525981	
SH3D19		1.5517572	
PAG1		1.5516883	
GRIA4		1.551348	
ZNF69		1.5500543	
TMBIM4		1.5488982	
ACSS3		1.5485035	
ZMAT4		1.5468963	
RWDD3		1.5468869	
METTL6		1.5467227	
NDUFB4		1.5458938	
MTURN		1.5456934	
HACE1		1.5443143	
ADGRA3		1.5435778	
PAXBP1-AS1		1.5433869	
TFDP2		1.5429	
RAB11FIP1		1.5417917	
ZNF624		1.5415043	
RSRC1		1.5404747	
SKA2		1.5403612	
FCHSD2		1.539879	
CDK6		1.5396544	
CHMP2B		1.5384153	
H2BW2		1.5366093	
FERMT2		1.5360287	
MYEF2		1.5359366	
ZNF582		1.5349027	
TDRD7		1.534773	
RTP4		1.534031	
SOX6		1.5340086	
RTN4IP1		1.5329722	
PIMREG		1.5318846	
ZNF780B		1.530514	
DNALI1		1.5296624	
TCEAL1		1.5295821	
IPO5		1.529231	
JAKMIP2		1.528516	
NDUFA5		1.5279727	
CACNG7		1.5279312	
SAMD15		1.5270855	
NTPCR		1.5266644	
RAD51AP1		1.5266044	
CAMK1G		1.5261313	
PAN3		1.524615	
HUNK		1.5245835	
ADAMTS15		1.5240006	
CNR1		1.5236266	
PKP4		1.5233431	
CFAP54		1.52175	
NUP35		1.5216502	
SCN3A		1.5202073	
CNPY4		1.5191025	
ACAT2		1.518833	
FOSB		1.5186442	
ZBTB33		1.5177138	
C21orf91		1.5174341	
ZNF225-AS1		1.5168186	
IMMP1L		1.5155638	
COX7A2		1.5124292	
C1orf94		1.5118337	
HAS2		1.511668	
PCDH15		1.5103065	
ING4		1.5100733	
F2R		1.5098056	
CCNB1		1.5094742	
ARHGAP31-AS1		1.5084275	
PLAAT4		1.5077704	
BBOX1		1.5071554	
SYDE2		1.5067637	
MED4		1.506137	
ISCA1		1.5059551	
USP27X		1.5057981	
THYN1		1.5054367	
HOXA3		1.5054226	
LOC122526780		1.5050024	
DNAAF10		1.5048261	
MAP2K5		1.5045624	
RSRC2		1.5034497	
ABHD17C		1.5017946	
BAZ2B-AS1		1.5006584	
FAM72B		1.5002953	
LMO4		1.499991	
EFCAB6		1.4996684	
TSPOAP1		1.4992814	
TSHZ1		1.4984039	
BEX3		1.4969985	
